,Weekly_Date_Custom,Sentiment_negative,Sentiment_neutral,Sentiment_positive
211,2022-04-05,0.3138615,0.19851229,0.17270803
212,2022-04-12,0.32137284,0.2005141,0.17105319
213,2022-04-19,0.31308535,0.1995969,0.17193046
214,2022-04-26,0.32178676,0.20191225,0.17142494
215,2022-05-03,0.32852975,0.20049666,0.17075789
216,2022-05-10,0.3203599,0.19556938,0.16885637
217,2022-05-17,0.31000483,0.19987263,0.17497692
218,2022-05-24,0.29651666,0.19752745,0.17604722
219,2022-05-31,0.30754885,0.19950171,0.17449503
220,2022-06-07,0.30669335,0.19717143,0.17513736
221,2022-06-14,0.30173412,0.19875245,0.17523058
222,2022-06-21,0.3054266,0.19503614,0.17440258
223,2022-06-28,0.32208654,0.19997092,0.16963595
224,2022-07-05,0.32467544,0.2002034,0.16845034
225,2022-07-12,0.31807795,0.2040066,0.17237407
226,2022-07-19,0.3057789,0.1949482,0.17441866
227,2022-07-26,0.29736516,0.19343337,0.1729408
228,2022-08-02,0.26427236,0.22757821,0.19168061
229,2022-08-09,0.3053835,0.22073834,0.19221811
230,2022-08-16,0.25755507,0.19643517,0.18619059
231,2022-08-23,0.27766588,0.19608195,0.17411484
232,2022-08-30,0.29863518,0.19356818,0.17228825
233,2022-09-06,0.29679298,0.18941443,0.17119767
234,2022-09-13,0.30932796,0.19521292,0.17094393
235,2022-09-20,0.31743297,0.1973192,0.17062828
236,2022-09-27,0.31314108,0.19249628,0.1677539
237,2022-10-04,0.2984066,0.19353658,0.17209952
238,2022-10-11,0.2973746,0.19257244,0.1708496
239,2022-10-18,0.31253833,0.19810255,0.17140448
240,2022-10-25,0.31447518,0.19768743,0.16840103
241,2022-11-01,0.29443985,0.19058192,0.17053615
242,2022-11-08,0.29674268,0.19228236,0.1739646
243,2022-11-15,0.30239603,0.196574,0.17235555
244,2022-11-22,0.32191503,0.19775535,0.16660477
245,2022-11-29,0.3291976,0.20283198,0.16886204
246,2022-12-06,0.2794624,0.18877555,0.17373255
247,2022-12-13,0.2912793,0.19510001,0.1757779
248,2022-12-20,0.31541494,0.19982013,0.16716307
249,2022-12-27,0.31191432,0.19782667,0.17036584
250,2023-01-03,0.30884796,0.20322311,0.17311727
251,2023-01-10,0.3133808,0.20103833,0.16929193
252,2023-01-17,0.30029288,0.19945794,0.1727025
253,2023-01-24,0.29137093,0.1923074,0.17115726
254,2023-01-31,0.27620938,0.19033962,0.17437299
255,2023-02-07,0.26401874,0.18360032,0.1723845
256,2023-02-14,0.27230576,0.1856052,0.17210343
257,2023-02-21,0.27641314,0.19002369,0.17237951
258,2023-02-28,0.28684723,0.19341353,0.17378032
259,2023-03-07,0.2702519,0.18387724,0.16977362
260,2023-03-14,0.27838415,0.18977945,0.17092647
261,2023-03-21,0.3004146,0.19205977,0.16903591
262,2023-03-28,0.27410382,0.18528599,0.17136976
263,2023-04-04,0.2736399,0.18547219,0.16904338
264,2023-04-11,0.27525756,0.18840103,0.1720123
265,2023-04-18,0.2661198,0.18573193,0.17362252
266,2023-04-25,0.27105328,0.18273567,0.1702219
267,2023-05-02,0.27825782,0.18800701,0.17283201
268,2023-05-09,0.27633137,0.18438563,0.17151858
269,2023-05-16,0.26472345,0.18656716,0.17267647
270,2023-05-23,0.26276687,0.1943269,0.1794241
271,2023-05-30,0.22732843,0.17235573,0.1773649
272,2023-06-06,0.2752371,0.18486618,0.17056778
273,2023-06-13,0.27210307,0.18469296,0.17206933
274,2023-06-20,0.25523537,0.18217039,0.17255677
275,2023-06-27,0.27144316,0.18789437,0.17267554
276,2023-07-04,0.26432273,0.1843556,0.17202231
277,2023-07-11,0.27178377,0.18813229,0.17065518
278,2023-07-18,0.27901065,0.19032685,0.1715204
279,2023-07-25,0.2799061,0.1907656,0.17302851
280,2023-08-01,0.25309676,0.17905633,0.17133711
281,2023-08-08,0.24710009,0.17745197,0.17168759
282,2023-08-15,0.26251277,0.18255867,0.17317995
283,2023-08-22,0.2514971,0.179945,0.17134103
284,2023-08-29,0.2613297,0.18855621,0.17423083
285,2023-09-05,0.25216588,0.17997016,0.17173384
286,2023-09-12,0.28147954,0.18715742,0.16826236
287,2023-09-19,0.28251958,0.18706053,0.16570641
